SpeciesStrength,Status
0.282928475,Native
0.88579614,Endemic
1.26153846,Endemic
0.05555556,Native
0.04395604,Native
1,Native
0.04615385,Endemic
0.29767328,Native
0.618433117,Endemic
0.86943316,Native
0.01538462,Endemic
0.13989207,Native
0.30884112,Native
3.2975722,Endemic
0.062899105,Native
0.15458659,Endemic
0.815394953,Endemic
0.13846154,Endemic
0.09375,Endemic
0.07017544,Endemic
0.41538462,Endemic
0.154684095,Endemic
0.79964675,Native
0.23076923,Endemic
1.53846154,Native
1.106229,Native
0.795418735,Native
0.10819539,Endemic
0.01098901,Endemic
2.14533995,Native
0.13793103,Native
0.06593586,Native
0.343621097,Endemic
0.276366403,Native
