,Brachymyrmex heeri ,Camponotus planus,Camponotus zonatus,Crematogaster curvispinosa,Crematogaster sp.,Monomorium floricola,Paratrechina longicornis,Solenopsis germinata,Tapinoma melanocephalum,Tetramorium bicarinatum
Cordia lutea,0,0,5,0,0,0,0,0,0,0
Croton scouleri,0,0,12,0,0,0,16,0,0,0
Desmanthus virgatus,0,0,8,0,0,0,0,0,1,0
Galactia striata,1,19,0,0,0,0,5,0,3,0
Gossypium darwinii,24,4,1,1,7,0,15,0,11,0
Jasminocereus thouarsii,0,6,0,0,0,2,0,0,2,0
Lantana peduncularis,0,0,1,0,0,1,0,0,7,0
Pseudabutilon depauperatum,0,0,0,0,0,8,0,0,0,0
Senna pistaciifolia,0,0,5,0,0,0,2,3,0,0
Tournefortia psilostachya,0,1,11,0,0,0,1,0,5,1
Tricerma octogonum,0,58,19,0,3,23,14,0,0,0
Vallesia glabra,1,2,4,0,0,0,0,0,0,0
Varronia leucophlyctis,0,0,2,0,0,0,0,0,2,0
Waltheria ovata,0,0,5,0,0,0,0,0,2,0
